Account Name,Account Number,Account Type,National Account,Brand,Branch,Main Phone,Account Executive,Last Billed On,Address 1: Street 1,Address 1: Street 2,Address 1: City,Address 1: ZIP/Postal Code
A. Barr Simpson,522344,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 451-4680,House Account,,2140 W. College Ave,,Normal,61761
Advanced Technology Recycling,538879,Prospect,No,ResourceMFG,"Bloomington, IL",(815) 844-7779,House Account,,902 N. Hazel St.,,Pontiac,61764
Bloomington IL Recruiting Acct,779535,Prospect,No,ResourceMFG,"Bloomington, IL",,House Account,,503 N Prospect,,Bloomington,61704
Darnell Printing,536966,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 827-7212,House Account,,801 West Chestnut St,,Bloomington,61701
Evergreen FS - Towanda,520327,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 728-2247,House Account,,111 W. Adams St,,Towanda,61776
Frito-Lay Inc,585927,Prospect,Yes,ResourceMFG,"Bloomington, IL",(309) 888-4761,Isabel Diefenbach,,412 Lumbertown Rd,,Normal,61761
Frito-Lay Inc,585928,Prospect,Yes,ResourceMFG,"Bloomington, IL",(309) 888-4761,Isabel Diefenbach,,412 Lumbertown Rd,,Normal,61761
G3 Machining,537889,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 684-1052,House Account,,915 E. Oakland Ave,,Bloomington,61701
HW Holdings LLC,510227,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 242-9159,House Account,,480 Wylie Drive,,Normal,61761
HW Holdings/Acuity Lab,514804,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 200-8461,House Account,,480 Wylie Drive,,Normal,61761
Kirkwood Products,520706,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 829-6661,House Account,,10424 E. 1400 North Rd,,Bloomington,61705
McLean County Chamber of Commerce,521218,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 829-6344,House Account,,2203 E. Empire St,,Bloomington,61704
Mechanical Devices Company,514888,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 663-2843,House Account,,2005 GE Road,,Bloomington,61704
Meyer Electronic Mfg Services,520713,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 585-1200,House Account,,440 Wylie Drive,,Normal,61761
Nestle,439161,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 829-1031,Pam Quinlan,,2501 Beich Rd,,Bloomington,61704
Quality Truck & Equipment,521503,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 662-5344,House Account,,1201 E. Bell St,,Bloomington,61701
"RR Donnelley/Clinton, Il.",771400,Customer,Yes,ResourceMFG,"Bloomington, IL",2179352113,Robert Bencko,,900 S. Cain St.,,Clinton,61727
Rusty Hinge,459215,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 962-3316,Pam Quinlan,,401 Bicentennial Dr.,,Le Roy,61752
Saia LTL Freight,520522,Prospect,No,ResourceMFG,"Bloomington, IL",(309) 827-7000,House Account,,902 Interstate Drive,,Bloomington,61701
XPO Logistics,521427,Prospect,Yes,ResourceMFG,"Bloomington, IL",(309) 454-7929,House Account,,2110 W. Hovey,,Normal,61761
Dometic,724744,Customer,No,ProLogistix,"Dometic - Litchfield, IL - PLX",8776638396,House Account,11/9/25,1 Sierra Pl,,Litchfield,62056
Allegis/Walgreens/Edwardsville,717784,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,House Account,8/6/23,28 Gateway Commerce Center Drive West,,Edwardsville,62025
Allegis/Walgreens/Edwardsville,717845,Prospect,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,House Account,,28 Gateway Commerce Center Drive West,,Edwardsville,62025
Americold,744642,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,,34 Fairmont City Boulevard,,National Stock Yards,62071
"Americold/IQN/Fairmont City, IL",769490,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(618) 248-0153,Cody Hale,5/11/25,34 Fairmont City Blvd,,National Stock Yards,62071
BBN Label and Screen Inc,795705,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6182835145,Cody Hale,,2025 North 8th Street,,Vandalia,62471
Benjamin Edwards and Co.,706940,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6186241500,Craig Carmody,,475 Regency Park #125,,O Fallon,62269
Burklund Distributors,708978,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",6183971900,Craig Carmody,,"1600 N 89th St,",,Fairview Heights,62208
Capitol Group,765461,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",2177933400,Cody Hale,8/20/23,1915 Schram Avenue,,Hillsboro,62049
COLDCO Logistics,721566,Customer,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",(618) 274-7000,Will Skowyra,4/27/20,34 Fairmont City Blvd,,National Stock Yards,62071
"Crescent Park / Edwardsville, IL",695895,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(844) 388-3628,Matt Biehl,11/9/25,100 Enterprise Dr Suite D,,Edwardsville,62025
"DB Schenker/Edwardsville, IL / Royal Canine / US04566RC0",695900,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,House Account,8/29/21,3049 Gateway Commerce Center South,,Edwardsville,62025
"DB Schenker/Edwardsville, IL/P&G/ US04356PG0-EDMC",695899,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",3362556694,House Account,10/18/20,#3 Gateway Commerce Center Drive,,Edwardsville,62025
"FedEx Supply Chain/Hershey/Edwardsville,IL",695898,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6187914200,Cody Hale,11/9/25,100 Enterprise Drive,,Edwardsville,62025
"FedEx Supply Chain/Unilever/Edwardsville,IL",695897,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6197973000,Cody Hale,11/9/25,5620 Inner Park Dr.,,Edwardsville,62025
"FedEx Supply Chain/Unilever/Edwardsville,IL",695901,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(619) 797-3000,House Account,9/30/19,5620 Inner Park Drive,,Edwardsville,62025
Fletcher-Reinhardt Company,790792,Prospect,No,ProLogistix,"Edwardsville (Granite City), IL - PLX",3145060700,Cody Hale,,6 Konzen Court,,Granite City,62040
"GEODIS/Beeline/Anheuser-Busch/Edwardsville, IL",754895,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",6187989402,Jacob Taylor,3/17/24,121 Enterprise Dr,,Edwardsville,62025
Geodis/Beeline/BBWD/Edwardsvil,726980,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",,Matt Biehl,3/28/21,3919 Lakeview Corporate Drive,,Edwardsville,62025
"Geodis/Beeline/Bldg18/Edwardsville, IL",744465,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(615) 401-6400,Matt Biehl,11/9/25,18 Gateway Commerce Center Dr,,Edwardsville,62025
"Geodis/Beeline/Cambium/Edwardsville, IL",781098,Customer,Yes,ProLogistix,"Edwardsville (Granite City), IL - PLX",(618) 973-2749,Matt Biehl,,119 industrial dr,,Granite City,62040
